event_type,event_cause,requires_road_closure,corridor,priority,police_station,latitude,longitude,hour,dow,month,duration_min,duration_bucket
unplanned,vehicle_breakdown,False,Tumkur Road,High,Yeshwanthpura,13.0176948,77.553788,20,3,2,22.174727083333334,<=1hr
unplanned,pot_holes,False,Non-corridor,Low,K.S. Layout,12.8985649,77.5435672,22,4,12,11560.307439216667,>24hr
unplanned,tree_fall,True,Non-corridor,Low,Jnanabharathi,12.9441328,77.5010682,7,4,3,105.48940756666666,1-6hr
unplanned,tree_fall,False,Non-corridor,Low,Electronic City,12.8785528,77.6720521,7,4,3,2198.129693766667,>24hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Halasuru Gate,12.9643404,77.5855854,21,3,2,57.51257438333334,<=1hr
unplanned,tree_fall,False,Non-corridor,Low,Electronic City,12.8785573,77.6719048,7,4,3,2195.455855816667,>24hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Peenya,13.0451384,77.5070153,21,3,2,33.33879541666667,<=1hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Byatarayanapura,12.9474732,77.5340694,7,4,3,39.6093981,<=1hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Peenya,13.0355513,77.5265219,7,4,3,10.150965166666667,<=1hr
unplanned,tree_fall,True,Non-corridor,Low,Jayanagara,12.92335,77.58296,8,4,3,66.3340463,1-6hr
unplanned,vehicle_breakdown,False,ORR East 1,High,HAL Old Airport,12.9390583,77.6946217,23,3,2,19.115834,<=1hr
unplanned,tree_fall,False,Non-corridor,Low,Electronic City,12.8509801,77.6601903,8,4,3,64.12170315,1-6hr
unplanned,others,True,Non-corridor,Low,Sadashivanagar,13.0145576,77.5696436,1,4,2,42.96236663333333,<=1hr
unplanned,road_conditions,False,Non-corridor,Low,Whitefield,12.9697862,77.7499252,4,4,2,1107.1190462833333,6-24hr
unplanned,others,False,Non-corridor,Low,Whitefield,12.9228111,77.7365506,3,4,2,87.31756581666667,1-6hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Ashok Nagar,12.96652735,77.60810502,8,4,3,66.13607151666666,1-6hr
unplanned,vehicle_breakdown,False,ORR East 1,High,Bellandur,12.926187,77.6772301,4,4,2,13.551236183333334,<=1hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Yeshwanthpura,13.029877,77.5377738,5,4,2,30.63011775,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Electronic City,12.8353407,77.6791817,6,4,2,18.7735204,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Mico Layout,12.9163498,77.6122067,6,4,2,77.0688961,1-6hr
unplanned,water_logging,False,Non-corridor,Low,Halasur,12.9616717,77.6308433,9,4,3,820.8788695333334,6-24hr
unplanned,construction,False,ORR East 1,High,Bellandur,12.92001766,77.66562279,20,4,1,19427.48784265,>24hr
unplanned,others,False,Non-corridor,Low,Ashok Nagar,12.967049,77.6102824,8,4,2,101592.23127151668,>24hr
unplanned,others,False,Non-corridor,Low,Sheshadripuram,12.9827733,77.5622665,10,4,2,25.367629383333334,<=1hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Byatarayanapura,12.9520875,77.5407653,18,4,3,15.771932999999999,<=1hr
unplanned,accident,False,Old Airport Road,High,Jeevanbheemanagar,12.9595784,77.6492766,19,4,2,35.956496816666665,<=1hr
unplanned,vehicle_breakdown,False,Old Airport Road,High,HAL Old Airport,12.9557117,77.6916217,19,4,2,27.47141106666667,<=1hr
unplanned,others,False,Mysore Road,High,Byatarayanapura,12.9379783,77.5214433,20,4,2,1922.4556106166667,>24hr
unplanned,others,False,Mysore Road,High,Jnanabharathi,12.9357223,77.5134413,21,4,2,17.062712316666666,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,K.R. Pura,13.0200506,77.7094059,21,4,2,35.281999049999996,<=1hr
unplanned,others,False,Non-corridor,Low,Bellandur,12.9137365,77.6774246,22,4,2,1.0946760500000001,<=1hr
unplanned,pot_holes,False,Non-corridor,Low,Pulikeshinagar(F.Town),13.0009179,77.612603,20,2,12,83621.89525755,>24hr
unplanned,others,False,Non-corridor,Low,Bellandur,12.9137307,77.6775918,22,4,2,3015.3421913166667,>24hr
unplanned,vehicle_breakdown,False,ORR West 1,High,J.P. Nagar,12.9061591,77.5856052,0,5,2,20.211203416666667,<=1hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,High ground,12.9964326,77.5846186,22,4,2,141.64393971666667,1-6hr
unplanned,accident,False,Non-corridor,Low,Chamarajpet,12.9735765,77.5693008,19,4,3,78.2774947,1-6hr
unplanned,vehicle_breakdown,False,ORR West 1,High,Banashankari,12.9354371,77.536311,4,5,2,36.08605643333333,<=1hr
unplanned,others,True,ORR North 1,High,K.G. Halli,13.0415656,77.6118591,2,6,12,79376.58893283334,>24hr
unplanned,vehicle_breakdown,False,Hosur Road,High,Electronic City,12.8878816,77.6407286,6,5,2,31.520573033333335,<=1hr
unplanned,construction,False,ORR East 2,High,HAL Old Airport,12.9692805,77.7006521,20,4,3,8801.107604216666,>24hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Peenya,13.0451892,77.5070112,5,5,2,132.2670364,1-6hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Sheshadripuram,12.9898004,77.5721914,6,5,2,72.34147603333332,1-6hr
unplanned,vehicle_breakdown,False,Hosur Road,High,Madiwala,12.92227542,77.61942577,6,5,2,96.5241556,1-6hr
unplanned,others,False,Non-corridor,Low,Bellandur,12.913843,77.6774956,6,5,2,2522.9359043,>24hr
unplanned,water_logging,False,Non-corridor,Low,Whitefield,12.9772269,77.751196,6,5,2,35883.953440833335,>24hr
unplanned,tree_fall,False,Non-corridor,Low,Kodigehalli,13.0386532,77.5740578,22,4,3,508.2992390666667,6-24hr
unplanned,vehicle_breakdown,False,ORR West 1,High,Banashankari,12.9154072,77.5653126,21,4,3,75.99775528333333,1-6hr
unplanned,vehicle_breakdown,False,Old Airport Road,High,Halasur,12.961075,77.6373946,8,5,2,10.359373833333333,<=1hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,Kodigehalli,13.03895,77.5895433,9,5,2,10.859754400000002,<=1hr
unplanned,vehicle_breakdown,False,ORR North 1,High,Banaswadi,12.9955054,77.6656028,17,5,2,80.29286535,1-6hr
unplanned,vehicle_breakdown,False,ORR East 1,High,HSR Layout,12.9241031,77.6488026,18,5,2,16.53580991666667,<=1hr
unplanned,others,False,Mysore Road,High,Jnanabharathi,12.9329717,77.5086981,20,5,2,36.87994801666667,<=1hr
unplanned,water_logging,False,ORR West 1,High,J.P. Nagar,12.9062767,77.5854083,21,3,1,12971.988448166667,>24hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Pulikeshinagar(F.Town),12.9930661,77.6072646,21,5,2,83.28090113333333,1-6hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Mahadevapura,12.9946463,77.757638,22,5,2,23.753298683333334,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Electronic City,12.8404633,77.6521017,23,5,2,73.46585520000001,1-6hr
unplanned,vehicle_breakdown,False,Magadi Road,High,Kamakshipalya,12.990066,77.5051704,23,5,2,72.26638113333334,1-6hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,Kodigehalli,13.0332299,77.5882243,23,5,2,92.67076003333334,1-6hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Byatarayanapura,12.9559289,77.5459051,0,6,2,14.5656122,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,K.R. Pura,13.0198953,77.7095235,0,6,2,12.90432295,<=1hr
unplanned,others,False,Bannerghata Road,High,Hulimavu,12.8854927,77.5965724,1,5,3,21814.1884831,>24hr
unplanned,road_conditions,False,Non-corridor,Low,K.R. Pura,13.0161568,77.7092743,2,6,2,86671.19320001667,>24hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Yeshwanthpura,13.030071,77.536943,2,6,2,102.77983354999999,1-6hr
unplanned,others,False,Bellary Road 2,High,Yelahanka,13.1025028,77.5994852,2,6,2,1654.0888025333334,>24hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Peenya,13.0455545,77.505774,1,6,2,104.3606748,1-6hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Mahadevapura,12.99601,77.75823,1,5,3,11.195320116666666,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Jnanabharathi,12.9519615,77.4996318,3,6,2,79.53191238333334,1-6hr
unplanned,accident,False,Non-corridor,Low,Yelahanka,13.0982087,77.5712693,2,5,3,0.8491233333333333,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Jnanabharathi,12.9605694,77.5042779,5,6,2,17.161744300000002,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Wilson Garden,12.9485683,77.5934648,2,5,3,69.83975466666668,1-6hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Yeshwanthpura,13.0290051,77.5402099,3,5,3,10.261219083333334,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,R.T. Nagar,13.0102,77.5903783,5,6,2,15.854282233333333,<=1hr
unplanned,vehicle_breakdown,False,Old Airport Road,High,Jeevanbheemanagar,12.9592991,77.6545459,6,6,2,40.82496125,<=1hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Ashok Nagar,12.9675759,77.6063726,5,5,3,39.93153236666667,<=1hr
unplanned,tree_fall,True,Non-corridor,Low,Basavanagudi,12.9392078,77.5800529,6,5,3,52.854736083333336,<=1hr
unplanned,water_logging,False,Non-corridor,Low,Basavanagudi,12.948058,77.5739248,6,5,3,45.86103,<=1hr
unplanned,water_logging,True,Mysore Road,High,Halasuru Gate,12.9640354,77.5822556,6,5,3,40590.64575138334,>24hr
unplanned,others,False,Magadi Road,High,Magadi Road,12.975762,77.5646846,7,5,3,24.955134649999998,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Banashankari,12.9156273,77.5694489,8,6,2,22.23222121666667,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Devanahalli Airport,13.2675104,77.7198706,9,6,2,32.981926566666665,<=1hr
unplanned,water_logging,False,ORR West 1,High,J.P. Nagar,12.9061883,77.5856282,7,5,3,31067.90847805,>24hr
unplanned,vehicle_breakdown,True,Non-corridor,Low,Wilson Garden,12.9443726,77.597203,19,6,2,24.749764333333335,<=1hr
unplanned,water_logging,False,Bannerghata Road,High,Mico Layout,12.905831,77.6018674,7,5,3,18623.928009216666,>24hr
unplanned,others,True,Non-corridor,Low,Banashankari,12.9155161,77.5695657,19,6,2,89679.99652428334,>24hr
unplanned,vehicle_breakdown,False,Magadi Road,High,Kamakshipalya,12.9879767,77.5094764,19,6,2,107.40422818333333,1-6hr
unplanned,water_logging,False,Non-corridor,Low,Wilson Garden,12.9435964,77.5823553,7,5,3,21555.31223965,>24hr
unplanned,water_logging,False,Non-corridor,Low,Halasur,12.966254,77.625327,7,5,3,634.7593560833334,6-24hr
unplanned,tree_fall,False,ORR West 1,High,J.P. Nagar,12.9063647,77.5797301,7,5,3,628.0100223833334,6-24hr
unplanned,vehicle_breakdown,False,ORR West 1,High,Byatarayanapura,12.9454287,77.5282021,22,6,2,39.407815049999996,<=1hr
unplanned,accident,False,Tumkur Road,High,Peenya,13.0379984,77.5219185,23,6,2,34.37267258333333,<=1hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Peenya,13.0456229,77.5063447,0,0,2,45.264776866666665,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Basavanagudi,12.9481048,77.5732898,0,0,2,45.61544075,<=1hr
unplanned,vehicle_breakdown,False,Magadi Road,High,Kamakshipalya,12.9897616,77.5020282,1,0,2,77.75613968333333,1-6hr
unplanned,others,False,ORR East 2,High,HAL Old Airport,12.9694415,77.7006984,2,0,2,170.56828548333334,1-6hr
unplanned,others,False,ORR East 2,High,K.R. Pura,13.0020031,77.6796905,3,0,2,18.06991683333333,<=1hr
unplanned,vehicle_breakdown,False,ORR North 2,High,Jalahalli,13.0418888,77.5476664,3,0,2,90.19006885,1-6hr
unplanned,water_logging,False,Non-corridor,Low,Halasur,12.9613179,77.6318647,7,5,3,1043.3983678333332,6-24hr
unplanned,vehicle_breakdown,False,Bellary Road 2,High,Yelahanka,13.0757816,77.5904347,5,0,2,12.225998116666666,<=1hr
unplanned,water_logging,False,Non-corridor,Low,Halasur,12.9613255,77.6317795,8,5,3,1039.9556850166666,6-24hr
unplanned,water_logging,False,Non-corridor,Low,K.R. Pura,13.0102806,77.6978433,7,0,2,3481.07047895,>24hr
unplanned,water_logging,False,Mysore Road,High,Ashok Nagar,12.9709573,77.6068549,8,5,3,48925.08282431667,>24hr
unplanned,pot_holes,False,Old Madras Road,High,Halasur,12.972025,77.6194239,22,3,1,92792.88329971668,>24hr
unplanned,tree_fall,False,Hosur Road,High,Adugodi,12.9289423,77.6179915,8,5,3,62.19627536666667,1-6hr
unplanned,water_logging,False,Old Madras Road,High,Halasur,12.971406,77.6189246,8,5,3,38922.47945293333,>24hr
unplanned,water_logging,False,Old Madras Road,High,Halasur,12.9718995,77.6197751,8,5,3,38927.736953499996,>24hr
unplanned,vehicle_breakdown,False,Bellary Road 2,High,Yelahanka,13.0929683,77.59668,12,0,2,76.96167763333332,1-6hr
unplanned,water_logging,True,Non-corridor,Low,Halasuru Gate,12.9758572,77.5875033,19,0,2,10540.669296933334,>24hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Ashok Nagar,12.9681574,77.6061899,19,0,2,61.782266433333334,1-6hr
unplanned,vehicle_breakdown,False,Varthur Road,High,HAL Old Airport,12.9561486,77.7009942,19,0,2,37.483846299999996,<=1hr
unplanned,vehicle_breakdown,False,ORR West 1,High,Byatarayanapura,12.9458905,77.5284091,19,0,2,39.58132188333333,<=1hr
unplanned,congestion,False,Hennur Main Road,High,Hennuru,13.041233,77.6223217,20,0,2,41.08258143333333,<=1hr
unplanned,others,False,Mysore Road,High,Halasuru Gate,12.9653189,77.5842525,21,0,2,1862.94228465,>24hr
unplanned,water_logging,False,ORR West 1,High,J.P. Nagar,12.9063813,77.585974,21,0,2,3321.72448815,>24hr
unplanned,others,False,Non-corridor,Low,Whitefield,12.9424905,77.7467855,10,5,3,567.0433455166666,6-24hr
unplanned,tree_fall,False,Mysore Road,High,Ashok Nagar,12.9696333,77.603115,11,5,3,2191.5870473500004,>24hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,Kodigehalli,13.030281,77.585662,22,0,2,110.65663531666668,1-6hr
unplanned,road_conditions,True,Bellary Road 1,High,Kodigehalli,13.0423232,77.5900171,12,2,12,88409.34102665,>24hr
unplanned,tree_fall,False,Non-corridor,Low,Jayanagara,12.9318535,77.5838672,18,5,3,1938.8078038166668,>24hr
unplanned,tree_fall,False,Non-corridor,Low,Jayanagara,12.9264413,77.5808446,18,5,3,7741.090977233333,>24hr
unplanned,tree_fall,True,Non-corridor,Low,Jayanagara,12.9216,77.5807633,18,5,3,7725.8088132,>24hr
unplanned,tree_fall,False,Non-corridor,Low,Jayanagara,12.9222233,77.5836883,19,5,3,7714.292728683333,>24hr
unplanned,water_logging,False,Non-corridor,Low,Jayanagara,12.92603,77.5802967,18,5,3,18791.138211166668,>24hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Mahadevapura,12.9841406,77.7519672,19,5,3,75.83953751666667,1-6hr
unplanned,others,False,Non-corridor,Low,Jnanabharathi,12.953515,77.5003879,22,0,2,19.413640933333333,<=1hr
