event_cause,corridor,requires_road_closure,duration_bucket,duration_min
vehicle_breakdown,Non-corridor,False,1-6hr,93.05635131666666
others,Magadi Road,False,>24hr,16403.151545516666
vehicle_breakdown,Hosur Road,False,<=1hr,11.49699995
pot_holes,Non-corridor,False,>24hr,31510.201385300003
construction,Non-corridor,False,>24hr,9655.520589099999
vehicle_breakdown,Mysore Road,False,1-6hr,66.23017465000001
others,Non-corridor,False,1-6hr,199.88949181666666
vehicle_breakdown,Hosur Road,False,1-6hr,75.03727443333334
others,Hennur Main Road,False,<=1hr,43.87439846666667
pot_holes,Non-corridor,False,>24hr,11562.4573284
vehicle_breakdown,Tumkur Road,False,<=1hr,22.174727083333334
pot_holes,Non-corridor,False,>24hr,11560.307439216667
tree_fall,Non-corridor,True,1-6hr,105.48940756666666
tree_fall,Non-corridor,False,>24hr,2198.129693766667
vehicle_breakdown,Mysore Road,False,<=1hr,57.51257438333334
tree_fall,Non-corridor,False,>24hr,2195.455855816667
vehicle_breakdown,Tumkur Road,False,<=1hr,33.33879541666667
vehicle_breakdown,Mysore Road,False,<=1hr,39.6093981
vehicle_breakdown,Tumkur Road,False,<=1hr,10.150965166666667
tree_fall,Non-corridor,True,1-6hr,66.3340463
vehicle_breakdown,ORR East 1,False,<=1hr,19.115834
tree_fall,Non-corridor,False,1-6hr,64.12170315
others,Non-corridor,True,<=1hr,42.96236663333333
road_conditions,Non-corridor,False,6-24hr,1107.1190462833333
others,Non-corridor,False,1-6hr,87.31756581666667
vehicle_breakdown,Mysore Road,False,1-6hr,66.13607151666666
vehicle_breakdown,ORR East 1,False,<=1hr,13.551236183333334
vehicle_breakdown,Tumkur Road,False,<=1hr,30.63011775
vehicle_breakdown,Non-corridor,False,<=1hr,18.7735204
vehicle_breakdown,Non-corridor,False,1-6hr,77.0688961
water_logging,Non-corridor,False,6-24hr,820.8788695333334
construction,ORR East 1,False,>24hr,19427.48784265
others,Non-corridor,False,>24hr,101592.23127151668
others,Non-corridor,False,<=1hr,25.367629383333334
vehicle_breakdown,Mysore Road,False,<=1hr,15.771932999999999
accident,Old Airport Road,False,<=1hr,35.956496816666665
vehicle_breakdown,Old Airport Road,False,<=1hr,27.47141106666667
others,Mysore Road,False,>24hr,1922.4556106166667
others,Mysore Road,False,<=1hr,17.062712316666666
vehicle_breakdown,Non-corridor,False,<=1hr,35.281999049999996
others,Non-corridor,False,<=1hr,1.0946760500000001
pot_holes,Non-corridor,False,>24hr,83621.89525755
others,Non-corridor,False,>24hr,3015.3421913166667
vehicle_breakdown,ORR West 1,False,<=1hr,20.211203416666667
vehicle_breakdown,Bellary Road 1,False,1-6hr,141.64393971666667
accident,Non-corridor,False,1-6hr,78.2774947
vehicle_breakdown,ORR West 1,False,<=1hr,36.08605643333333
others,ORR North 1,True,>24hr,79376.58893283334
vehicle_breakdown,Hosur Road,False,<=1hr,31.520573033333335
construction,ORR East 2,False,>24hr,8801.107604216666
vehicle_breakdown,Tumkur Road,False,1-6hr,132.2670364
vehicle_breakdown,Non-corridor,False,1-6hr,72.34147603333332
vehicle_breakdown,Hosur Road,False,1-6hr,96.5241556
others,Non-corridor,False,>24hr,2522.9359043
water_logging,Non-corridor,False,>24hr,35883.953440833335
tree_fall,Non-corridor,False,6-24hr,508.2992390666667
vehicle_breakdown,ORR West 1,False,1-6hr,75.99775528333333
vehicle_breakdown,Old Airport Road,False,<=1hr,10.359373833333333
vehicle_breakdown,Bellary Road 1,False,<=1hr,10.859754400000002
vehicle_breakdown,ORR North 1,False,1-6hr,80.29286535
vehicle_breakdown,ORR East 1,False,<=1hr,16.53580991666667
others,Mysore Road,False,<=1hr,36.87994801666667
water_logging,ORR West 1,False,>24hr,12971.988448166667
vehicle_breakdown,Non-corridor,False,1-6hr,83.28090113333333
vehicle_breakdown,Non-corridor,False,<=1hr,23.753298683333334
vehicle_breakdown,Non-corridor,False,1-6hr,73.46585520000001
vehicle_breakdown,Magadi Road,False,1-6hr,72.26638113333334
vehicle_breakdown,Bellary Road 1,False,1-6hr,92.67076003333334
vehicle_breakdown,Mysore Road,False,<=1hr,14.5656122
vehicle_breakdown,Non-corridor,False,<=1hr,12.90432295
others,Bannerghata Road,False,>24hr,21814.1884831
road_conditions,Non-corridor,False,>24hr,86671.19320001667
vehicle_breakdown,Tumkur Road,False,1-6hr,102.77983354999999
others,Bellary Road 2,False,>24hr,1654.0888025333334
vehicle_breakdown,Tumkur Road,False,1-6hr,104.3606748
vehicle_breakdown,Non-corridor,False,<=1hr,11.195320116666666
vehicle_breakdown,Non-corridor,False,1-6hr,79.53191238333334
accident,Non-corridor,False,<=1hr,0.8491233333333333
vehicle_breakdown,Non-corridor,False,<=1hr,17.161744300000002
vehicle_breakdown,Non-corridor,False,1-6hr,69.83975466666668
vehicle_breakdown,Tumkur Road,False,<=1hr,10.261219083333334
vehicle_breakdown,Non-corridor,False,<=1hr,15.854282233333333
vehicle_breakdown,Old Airport Road,False,<=1hr,40.82496125
vehicle_breakdown,Mysore Road,False,<=1hr,39.93153236666667
tree_fall,Non-corridor,True,<=1hr,52.854736083333336
water_logging,Non-corridor,False,<=1hr,45.86103
water_logging,Mysore Road,True,>24hr,40590.64575138334
others,Magadi Road,False,<=1hr,24.955134649999998
vehicle_breakdown,Non-corridor,False,<=1hr,22.23222121666667
vehicle_breakdown,Non-corridor,False,<=1hr,32.981926566666665
water_logging,ORR West 1,False,>24hr,31067.90847805
vehicle_breakdown,Non-corridor,True,<=1hr,24.749764333333335
water_logging,Bannerghata Road,False,>24hr,18623.928009216666
others,Non-corridor,True,>24hr,89679.99652428334
vehicle_breakdown,Magadi Road,False,1-6hr,107.40422818333333
water_logging,Non-corridor,False,>24hr,21555.31223965
water_logging,Non-corridor,False,6-24hr,634.7593560833334
tree_fall,ORR West 1,False,6-24hr,628.0100223833334
vehicle_breakdown,ORR West 1,False,<=1hr,39.407815049999996
accident,Tumkur Road,False,<=1hr,34.37267258333333
vehicle_breakdown,Tumkur Road,False,<=1hr,45.264776866666665
vehicle_breakdown,Non-corridor,False,<=1hr,45.61544075
vehicle_breakdown,Magadi Road,False,1-6hr,77.75613968333333
others,ORR East 2,False,1-6hr,170.56828548333334
others,ORR East 2,False,<=1hr,18.06991683333333
vehicle_breakdown,ORR North 2,False,1-6hr,90.19006885
water_logging,Non-corridor,False,6-24hr,1043.3983678333332
vehicle_breakdown,Bellary Road 2,False,<=1hr,12.225998116666666
water_logging,Non-corridor,False,6-24hr,1039.9556850166666
water_logging,Non-corridor,False,>24hr,3481.07047895
water_logging,Mysore Road,False,>24hr,48925.08282431667
pot_holes,Old Madras Road,False,>24hr,92792.88329971668
tree_fall,Hosur Road,False,1-6hr,62.19627536666667
water_logging,Old Madras Road,False,>24hr,38922.47945293333
water_logging,Old Madras Road,False,>24hr,38927.736953499996
vehicle_breakdown,Bellary Road 2,False,1-6hr,76.96167763333332
water_logging,Non-corridor,True,>24hr,10540.669296933334
vehicle_breakdown,Mysore Road,False,1-6hr,61.782266433333334
vehicle_breakdown,Varthur Road,False,<=1hr,37.483846299999996
vehicle_breakdown,ORR West 1,False,<=1hr,39.58132188333333
congestion,Hennur Main Road,False,<=1hr,41.08258143333333
others,Mysore Road,False,>24hr,1862.94228465
water_logging,ORR West 1,False,>24hr,3321.72448815
others,Non-corridor,False,6-24hr,567.0433455166666
tree_fall,Mysore Road,False,>24hr,2191.5870473500004
vehicle_breakdown,Bellary Road 1,False,1-6hr,110.65663531666668
road_conditions,Bellary Road 1,True,>24hr,88409.34102665
tree_fall,Non-corridor,False,>24hr,1938.8078038166668
tree_fall,Non-corridor,False,>24hr,7741.090977233333
tree_fall,Non-corridor,True,>24hr,7725.8088132
tree_fall,Non-corridor,False,>24hr,7714.292728683333
water_logging,Non-corridor,False,>24hr,18791.138211166668
vehicle_breakdown,Non-corridor,False,1-6hr,75.83953751666667
others,Non-corridor,False,<=1hr,19.413640933333333
vehicle_breakdown,Bellary Road 1,False,<=1hr,21.48659638333333
vehicle_breakdown,Old Airport Road,False,<=1hr,10.285472433333332
vehicle_breakdown,Mysore Road,False,1-6hr,78.04236811666667
vehicle_breakdown,Tumkur Road,False,<=1hr,8.949905016666666
vehicle_breakdown,Old Airport Road,False,1-6hr,85.34070533333333
tree_fall,Non-corridor,False,>24hr,7684.336017833333
water_logging,Old Madras Road,False,>24hr,6102.368835766667
vehicle_breakdown,Bellary Road 1,False,1-6hr,74.08036368333335
others,Non-corridor,False,>24hr,47238.69848676667
others,CBD 2,False,>24hr,37822.9705345
vehicle_breakdown,Hosur Road,False,<=1hr,57.48541201666667
pot_holes,Non-corridor,False,>24hr,36490.44095341666
construction,ORR North 1,False,>24hr,25835.501772983334
accident,Bellary Road 1,False,<=1hr,16.25948615
water_logging,IRR(Thanisandra road),False,>24hr,53354.217873333335
water_logging,CBD 2,False,>24hr,80517.23230166666
vehicle_breakdown,Bellary Road 1,False,1-6hr,88.67010386666668
vehicle_breakdown,ORR North 2,False,<=1hr,49.33388356666667
road_conditions,Bannerghata Road,False,<=1hr,41.26528335
vehicle_breakdown,Bellary Road 2,False,<=1hr,35.9550146
vehicle_breakdown,Tumkur Road,False,<=1hr,11.41129385
accident,Bellary Road 2,False,1-6hr,65.95049823333333
vehicle_breakdown,Non-corridor,False,1-6hr,110.95514761666666
vehicle_breakdown,Non-corridor,False,<=1hr,28.716758966666664
vehicle_breakdown,Mysore Road,False,1-6hr,131.20510380000002
vehicle_breakdown,Mysore Road,False,1-6hr,102.62026928333333
vehicle_breakdown,Tumkur Road,False,1-6hr,125.82290351666667
vehicle_breakdown,Non-corridor,False,<=1hr,51.529733783333334
vehicle_breakdown,Mysore Road,False,<=1hr,3.73901635
vehicle_breakdown,Non-corridor,False,<=1hr,18.3825912
vehicle_breakdown,Tumkur Road,False,<=1hr,7.900588366666667
others,ORR East 2,False,>24hr,12941.585693
vehicle_breakdown,Non-corridor,False,<=1hr,14.79356025
vehicle_breakdown,Hennur Main Road,False,1-6hr,100.59974936666667
vehicle_breakdown,Magadi Road,False,1-6hr,102.56760073333334
others,Magadi Road,False,1-6hr,156.8681104
others,CBD 2,False,>24hr,65287.39152793333
pot_holes,CBD 2,False,>24hr,70035.4109677
pot_holes,ORR West 1,False,>24hr,102211.0217912
others,ORR North 1,False,1-6hr,65.11967595
others,Old Airport Road,False,>24hr,23045.811545316665
vehicle_breakdown,Mysore Road,False,<=1hr,46.61182065
vehicle_breakdown,Non-corridor,False,<=1hr,41.68652611666666
vehicle_breakdown,Varthur Road,False,<=1hr,37.8018373
vehicle_breakdown,Non-corridor,False,1-6hr,118.13179021666666
vehicle_breakdown,Non-corridor,False,<=1hr,58.84397311666667
vehicle_breakdown,Bellary Road 1,False,<=1hr,40.3799524
others,CBD 2,False,>24hr,8750.818675366667
water_logging,CBD 2,False,>24hr,51674.3600317
others,Mysore Road,False,>24hr,75420.19727465
others,Non-corridor,False,1-6hr,187.72091528333334
pot_holes,Bellary Road 2,False,>24hr,28386.76052491667
vehicle_breakdown,Hennur Main Road,False,1-6hr,92.29220731666666
road_conditions,Non-corridor,False,>24hr,88542.22809078333
pot_holes,Non-corridor,False,>24hr,22847.570394516668
others,Non-corridor,False,<=1hr,48.6091393
accident,Non-corridor,False,<=1hr,4.357959916666667
vehicle_breakdown,Mysore Road,False,<=1hr,4.0160994500000005
pot_holes,Non-corridor,False,>24hr,43297.95095176667
others,Tumkur Road,False,6-24hr,1303.7770233833332
vehicle_breakdown,Non-corridor,False,<=1hr,41.98896968333334
water_logging,Hosur Road,False,>24hr,14636.951830766666
others,ORR North 2,False,>24hr,10320.266869116665
vehicle_breakdown,Non-corridor,False,1-6hr,99.42997704999999
others,Non-corridor,False,>24hr,2267.11059435
others,ORR North 2,False,>24hr,83795.66197925
vehicle_breakdown,Mysore Road,False,<=1hr,49.17207883333333
others,IRR(Thanisandra road),True,>24hr,34689.907691316665
vehicle_breakdown,Tumkur Road,False,<=1hr,7.371330166666667
vehicle_breakdown,Varthur Road,False,<=1hr,59.29006258333333
vehicle_breakdown,Non-corridor,False,<=1hr,15.77857665
water_logging,ORR West 1,False,>24hr,6178.0393693333335
vehicle_breakdown,Tumkur Road,False,<=1hr,45.83979136666667
vehicle_breakdown,Bellary Road 1,False,1-6hr,105.14612633333333
water_logging,Bellary Road 2,False,>24hr,21480.110906166665
vehicle_breakdown,Bellary Road 1,False,<=1hr,27.93791925
vehicle_breakdown,Tumkur Road,False,<=1hr,12.276266133333333
tree_fall,Non-corridor,True,<=1hr,56.79600258333333
vehicle_breakdown,Bellary Road 2,False,<=1hr,45.69163531666666
tree_fall,Non-corridor,True,>24hr,52510.90529903334
vehicle_breakdown,Non-corridor,False,<=1hr,42.935636433333336
others,Non-corridor,False,1-6hr,280.83443520000003
others,Hosur Road,False,<=1hr,26.72452003333333
vehicle_breakdown,Non-corridor,False,1-6hr,95.82774763333333
vehicle_breakdown,Non-corridor,False,<=1hr,34.2924117
vehicle_breakdown,Non-corridor,False,1-6hr,129.19878353333334
vehicle_breakdown,Tumkur Road,False,<=1hr,19.84877475
water_logging,Non-corridor,False,>24hr,71984.07921398334
others,Magadi Road,False,6-24hr,611.3854716000001
others,Non-corridor,False,>24hr,30112.756747433334
vehicle_breakdown,West of Chord Road,False,1-6hr,115.28882806666667
vehicle_breakdown,Magadi Road,False,<=1hr,7.7180967
vehicle_breakdown,Varthur Road,False,1-6hr,98.82358633333334
others,Tumkur Road,False,6-24hr,1327.4565705999998
pot_holes,ORR West 1,False,>24hr,10155.104486383332
vehicle_breakdown,Bellary Road 1,False,<=1hr,12.097447016666667
vehicle_breakdown,Bannerghata Road,False,<=1hr,10.48741705
vehicle_breakdown,Non-corridor,False,1-6hr,73.79083653333333
vehicle_breakdown,ORR East 1,False,<=1hr,40.523691066666665
vehicle_breakdown,Mysore Road,False,<=1hr,25.035437483333332
vehicle_breakdown,Mysore Road,False,<=1hr,48.54255426666667
vehicle_breakdown,Non-corridor,True,<=1hr,27.657876616666666
vehicle_breakdown,Tumkur Road,False,1-6hr,148.41387268333335
others,Mysore Road,False,1-6hr,154.96781246666666
vehicle_breakdown,Bellary Road 1,False,<=1hr,29.79319548333333
vehicle_breakdown,Non-corridor,False,1-6hr,119.41805864999999
vehicle_breakdown,Non-corridor,False,<=1hr,30.14560906666667
vehicle_breakdown,Mysore Road,False,1-6hr,79.44030501666666
vehicle_breakdown,ORR North 1,False,<=1hr,33.73741513333333
vehicle_breakdown,Non-corridor,False,1-6hr,71.70723046666667
vehicle_breakdown,Mysore Road,False,<=1hr,41.48662983333334
tree_fall,West of Chord Road,False,<=1hr,31.80648258333333
vehicle_breakdown,Hosur Road,False,<=1hr,47.110916849999995
others,Bellary Road 1,False,<=1hr,32.5370269
water_logging,Non-corridor,False,>24hr,12279.153694183333
tree_fall,Non-corridor,False,1-6hr,358.28831121666667
vehicle_breakdown,Non-corridor,False,1-6hr,95.20728398333334
vehicle_breakdown,Non-corridor,False,<=1hr,38.20984111666667
others,Tumkur Road,False,>24hr,40356.568071249996
pot_holes,Bannerghata Road,False,>24hr,1487.2023295833335
vehicle_breakdown,Mysore Road,False,<=1hr,20.381774716666666
water_logging,Varthur Road,False,>24hr,1484.0019410666669
construction,Non-corridor,True,>24hr,5820.239507183333
accident,ORR East 1,False,<=1hr,52.74507428333333
others,ORR North 1,False,<=1hr,1.0338238833333333
others,ORR North 2,False,>24hr,30752.3803296
vehicle_breakdown,Non-corridor,False,<=1hr,53.862429883333334
construction,Non-corridor,True,>24hr,19010.9735243
vehicle_breakdown,Varthur Road,False,1-6hr,62.645947
others,Non-corridor,True,>24hr,71672.26525256666
vehicle_breakdown,ORR East 1,False,<=1hr,1.2778825666666667
vehicle_breakdown,Non-corridor,False,<=1hr,58.697027133333336
vehicle_breakdown,Non-corridor,False,1-6hr,75.01906000000001
road_conditions,Non-corridor,False,>24hr,35231.49571261667
water_logging,Hennur Main Road,False,>24hr,20495.786394766666
water_logging,West of Chord Road,True,>24hr,56508.9407717
construction,Non-corridor,False,6-24hr,969.3087973999999
vehicle_breakdown,Non-corridor,False,<=1hr,22.188365633333333
vehicle_breakdown,Bellary Road 1,False,<=1hr,53.13025051666667
vehicle_breakdown,ORR West 1,False,1-6hr,62.22422101666667
pot_holes,Non-corridor,False,>24hr,61364.248525866664
accident,Non-corridor,False,<=1hr,1.8313234166666668
vehicle_breakdown,Non-corridor,False,1-6hr,81.64968848333334
vehicle_breakdown,Old Airport Road,False,<=1hr,15.971929466666667
vehicle_breakdown,Non-corridor,False,1-6hr,78.58225675
pot_holes,Bellary Road 1,False,>24hr,21858.3643701
pot_holes,Non-corridor,False,>24hr,27578.025342816665
vehicle_breakdown,Bellary Road 1,False,1-6hr,114.21673276666667
vehicle_breakdown,Old Airport Road,False,<=1hr,1.2535275166666666
vehicle_breakdown,Bellary Road 1,False,<=1hr,49.60811926666667
tree_fall,Mysore Road,False,>24hr,42027.8739584
construction,Non-corridor,False,6-24hr,366.65548681666667
others,Mysore Road,False,1-6hr,76.24653713333333
water_logging,Non-corridor,False,1-6hr,137.85110428333334
others,Non-corridor,True,>24hr,71059.58667485
vehicle_breakdown,Hosur Road,False,1-6hr,79.27560286666667
vehicle_breakdown,Hosur Road,False,1-6hr,96.84268413333332
others,CBD 2,False,1-6hr,75.09085913333334
pot_holes,Non-corridor,False,>24hr,201789.4924975
others,Non-corridor,False,>24hr,80635.52403755
vehicle_breakdown,Magadi Road,False,<=1hr,17.01463426666667
vehicle_breakdown,Non-corridor,False,<=1hr,10.597155033333333
road_conditions,Non-corridor,False,6-24hr,1386.89255105
road_conditions,Non-corridor,False,>24hr,5799.80037435
pot_holes,Non-corridor,False,>24hr,48375.30817531667
vehicle_breakdown,Non-corridor,True,<=1hr,39.4856103
vehicle_breakdown,Tumkur Road,False,<=1hr,16.270418616666667
vehicle_breakdown,Non-corridor,False,1-6hr,138.70672721666668
accident,Mysore Road,False,<=1hr,32.826353266666665
water_logging,Non-corridor,False,>24hr,82116.56637165
procession,Non-corridor,False,<=1hr,36.537950349999996
procession,Non-corridor,False,<=1hr,29.108712066666666
vehicle_breakdown,Non-corridor,False,1-6hr,92.15842395
others,Tumkur Road,False,1-6hr,355.29140055
vehicle_breakdown,Bellary Road 1,False,<=1hr,12.875058366666668
vehicle_breakdown,ORR East 1,False,<=1hr,6.304003066666667
tree_fall,Non-corridor,True,>24hr,19335.9219217
others,Non-corridor,False,>24hr,37483.73123706667
vehicle_breakdown,CBD 2,False,1-6hr,83.6431582
vehicle_breakdown,Mysore Road,False,<=1hr,54.19506535
vehicle_breakdown,Non-corridor,True,<=1hr,21.735800349999998
vehicle_breakdown,Non-corridor,False,<=1hr,27.90641395
vehicle_breakdown,Bellary Road 1,False,<=1hr,26.02119336666667
pot_holes,CBD 2,True,>24hr,96013.89433023334
vehicle_breakdown,Non-corridor,True,<=1hr,2.318516516666667
vehicle_breakdown,CBD 2,False,<=1hr,25.868294600000002
vehicle_breakdown,ORR North 2,False,1-6hr,70.6369603
others,Non-corridor,False,>24hr,66152.55166476667
vehicle_breakdown,Non-corridor,True,<=1hr,19.236815733333334
others,Non-corridor,False,>24hr,3812.035816
congestion,Hennur Main Road,False,1-6hr,81.69610738333334
vehicle_breakdown,Tumkur Road,False,1-6hr,77.64849921666668
road_conditions,ORR East 2,True,<=1hr,1.9296002833333332
construction,ORR East 2,True,>24hr,2852.1638163166667
others,ORR East 2,False,>24hr,33633.04481683333
vehicle_breakdown,ORR North 1,False,<=1hr,43.703668050000005
vehicle_breakdown,Non-corridor,False,<=1hr,18.12563553333333
vehicle_breakdown,Old Airport Road,False,1-6hr,69.32541208333333
others,Non-corridor,False,<=1hr,43.829488833333336
vehicle_breakdown,Mysore Road,False,1-6hr,107.36787663333332
vehicle_breakdown,Tumkur Road,False,1-6hr,141.42639348333333
water_logging,Bannerghata Road,False,>24hr,5883.57713725
pot_holes,Mysore Road,False,>24hr,17141.221694
others,Bellary Road 1,False,>24hr,100585.63057978333
vehicle_breakdown,Non-corridor,False,1-6hr,99.77792416666666
vehicle_breakdown,Non-corridor,False,1-6hr,71.35226383333334
vehicle_breakdown,Bellary Road 1,False,1-6hr,60.9291782
vehicle_breakdown,Non-corridor,False,<=1hr,13.084814833333333
vehicle_breakdown,Bannerghata Road,False,<=1hr,10.573012383333333
pot_holes,CBD 1,False,>24hr,6152.18195165
others,Non-corridor,False,>24hr,9602.698774133334
vehicle_breakdown,ORR North 1,False,<=1hr,42.808710616666666
pot_holes,Old Airport Road,False,>24hr,6055.445450866667
vehicle_breakdown,Tumkur Road,False,<=1hr,29.313113633333334
vehicle_breakdown,Non-corridor,False,<=1hr,28.7572406
vehicle_breakdown,Non-corridor,False,1-6hr,83.15463388333333
vehicle_breakdown,ORR East 1,False,<=1hr,27.226681883333335
vehicle_breakdown,Magadi Road,False,<=1hr,33.101952716666666
vehicle_breakdown,ORR North 1,False,1-6hr,64.03269065
vehicle_breakdown,Mysore Road,False,<=1hr,21.942543016666665
others,Bellary Road 1,False,<=1hr,4.012004933333333
vehicle_breakdown,Non-corridor,True,<=1hr,24.017026933333334
vehicle_breakdown,Mysore Road,False,<=1hr,9.573394949999999
others,Bellary Road 1,False,>24hr,3801.1654547
congestion,Hennur Main Road,False,1-6hr,70.369317
vehicle_breakdown,Non-corridor,False,<=1hr,14.661646350000002
tree_fall,Bellary Road 1,False,<=1hr,20.392180399999997
vehicle_breakdown,Mysore Road,False,<=1hr,35.98495698333333
vehicle_breakdown,Airport New South Road,False,1-6hr,64.49834003333333
water_logging,Mysore Road,False,6-24hr,1341.8618717
water_logging,Bellary Road 1,False,>24hr,3913.5393192166666
vehicle_breakdown,ORR East 1,False,<=1hr,32.482557983333336
others,Tumkur Road,True,6-24hr,425.9449986166667
construction,Non-corridor,False,>24hr,65096.484923816664
others,Non-corridor,True,>24hr,3387.139090366667
others,Non-corridor,False,>24hr,11100.934242516667
vehicle_breakdown,Non-corridor,True,1-6hr,68.54527198333334
vehicle_breakdown,Bellary Road 2,False,1-6hr,141.574881
others,Bellary Road 1,False,>24hr,14674.775293166666
water_logging,Non-corridor,False,>24hr,118162.02387745
vehicle_breakdown,Non-corridor,False,1-6hr,87.93818821666667
pot_holes,Non-corridor,False,>24hr,129385.72710041665
construction,Mysore Road,True,>24hr,15958.09634375
water_logging,Old Madras Road,False,<=1hr,36.627531100000006
vehicle_breakdown,Non-corridor,False,1-6hr,60.76119708333333
vehicle_breakdown,Mysore Road,True,<=1hr,33.748134783333334
vehicle_breakdown,ORR East 1,False,<=1hr,3.437997633333333
